timestamp,value
1626278427000,3338746673.0
1626278457000,3338831403.0
1626278487000,3338883493.0
1626278517000,3338952983.0
1626278547000,3339023022.0
1626278577000,3339080884.0
1626278607000,3339124385.0
1626278637000,3339208786.0
1626278667000,3339288607.0
1626278697000,3339359947.0
1626278727000,3339411774.0
1626278757000,3339494165.0
1626278787000,3339558236.0
1626278817000,3339625755.0
1626278847000,3339696339.0
1626278877000,3339740884.0
1626278907000,3339807718.0
1626278937000,3339860420.0
1626278967000,3339945949.0
1626278997000,3340020246.0
1626279027000,3340070874.0
1626279057000,3340126214.0
1626279087000,3340190769.0
1626279117000,3340242709.0
1626279147000,3340323693.0
1626279177000,3340375890.0
1626279207000,3340437179.0
1626279237000,3340502045.0
1626279267000,3340585967.0
1626279297000,3340633567.0
1626279327000,3340682762.0
1626279357000,3340755204.0
1626279387000,3340811529.0
1626279417000,3340854633.0
1626279447000,3340917366.0
1626279477000,3340974978.0
1626279507000,3341042234.0
1626279537000,3341102597.0
1626279567000,3341150093.0
1626279597000,3341200285.0
1626279627000,3341265164.0
1626279657000,3341323808.0
1626279687000,3341413130.0
1626279717000,3341477870.0
1626279747000,3341575021.0
1626279777000,3341647345.0
1626279807000,3341703561.0
1626279837000,3341767990.0
1626279867000,3341833617.0
1626279897000,3341899343.0
1626279927000,3341952813.0
1626279957000,3342006676.0
1626279987000,3342088645.0
1626280017000,3342142296.0
1626280047000,3342184776.0
1626280077000,3342240413.0
1626280107000,3342329448.0
1626280137000,3342376763.0
1626280167000,3342432298.0
1626280197000,3342516388.0
1626280227000,3342582244.0
1626280257000,3342686957.0
1626280287000,3342755812.0
1626280317000,3342820064.0
1626280347000,3342888476.0
1626280377000,3342961842.0
1626280407000,3343036079.0
1626280437000,3343092808.0
1626280467000,3343177720.0
1626280497000,3343246203.0
1626280527000,3343293428.0
1626280557000,3343366278.0
1626280587000,3343424757.0
1626280617000,3343496121.0
1626280647000,3343557906.0
1626280677000,3343628103.0
1626280707000,3343708677.0
1626280737000,3343745903.0
1626280767000,3343815549.0
1626280797000,3343891867.0
1626280827000,3343955000.0
1626280857000,3344032782.0
1626280887000,3344085752.0
1626280917000,3344151582.0
1626280947000,3344221050.0
1626280977000,3344291757.0
1626281007000,3344355972.0
1626281037000,3344427581.0
1626281067000,3344517589.0
1626281097000,3344579204.0
1626281127000,3344636895.0
1626281157000,3344694700.0
1626281187000,3344767063.0
1626281217000,3344829493.0
1626281247000,3344909476.0
1626281277000,3344970064.0
1626281307000,3345064424.0
1626281337000,3345139660.0
1626281367000,3345229637.0
1626281397000,3345300290.0
1626281427000,3345364716.0
1626281457000,3345415554.0
1626281487000,3345478690.0
1626281517000,3345542542.0
1626281547000,3345634291.0
1626281577000,3345702749.0
1626281607000,3345755616.0
1626281637000,3345833599.0
1626281667000,3345871611.0
1626281697000,3345944601.0
1626281727000,3345993079.0
1626281757000,3346054278.0
1626281787000,3346120951.0
1626281817000,3346170647.0
1626281847000,3346249741.0
1626281877000,3346288498.0
1626281907000,3346345284.0
1626281937000,3346435079.0
1626281967000,3346484433.0
1626281997000,3346524132.0
1626282027000,3346613265.0
1626282057000,3346675478.0
1626282087000,3346744582.0
1626282117000,3346830800.0
1626282147000,3346884285.0
1626282177000,3346955176.0
1626282207000,3347017497.0
1626282237000,3347093110.0
1626282267000,3347138098.0
1626282297000,3347211987.0
1626282327000,3347264712.0
1626282357000,3347339999.0
1626282387000,3347431343.0
1626282417000,3347499888.0
1626282447000,3347549388.0
1626282477000,3347598759.0
1626282507000,3347685599.0
1626282537000,3347748484.0
1626282567000,3347805597.0
1626282597000,3347866578.0
1626282627000,3347929968.0
1626282657000,3348010559.0
1626282687000,3348061907.0
1626282717000,3348131740.0
1626282747000,3348204818.0
1626282777000,3348267287.0
1626282807000,3348358007.0
1626282837000,3348414218.0
1626282867000,3348474033.0
1626282897000,3348538435.0
1626282927000,3348576484.0
1626282957000,3348645818.0
1626282987000,3348725124.0
1626283017000,3348806184.0
1626283047000,3348875620.0
1626283077000,3348925322.0
1626283107000,3349002099.0
1626283137000,3349084426.0
1626283167000,3349141997.0
1626283197000,3349180365.0
1626283227000,3349264937.0
1626283257000,3349333333.0
1626283287000,3349364756.0
1626283317000,3349419124.0
1626283347000,3349471549.0
1626283377000,3349521708.0
1626283407000,3349582541.0
1626283437000,3349642677.0
1626283467000,3349709111.0
1626283497000,3349775228.0
1626283527000,3349852261.0
1626283557000,3349901264.0
1626283587000,3349978379.0
1626283617000,3350031640.0
1626283647000,3350097536.0
1626283677000,3350180585.0
1626283707000,3350236971.0
1626283737000,3350281699.0
1626283767000,3350346898.0
1626283797000,3350424137.0
1626283827000,3350482554.0
1626283857000,3350527296.0
1626283887000,3350576062.0
1626283917000,3350649604.0
1626283947000,3350722717.0
1626283977000,3350758882.0
1626284007000,3350841128.0
1626284037000,3350896933.0
1626284067000,3350951112.0
1626284097000,3351023451.0
1626284127000,3351083895.0
1626284157000,3351139218.0
1626284187000,3351207038.0
1626284217000,3351264068.0
1626284247000,3351365349.0
1626284277000,3351427899.0
1626284307000,3351480659.0
1626284337000,3351537868.0
1626284367000,3351611643.0
1626284397000,3351673006.0
1626284427000,3351714530.0
1626284457000,3351768565.0
1626284487000,3351820142.0
1626284517000,3351893380.0
1626284547000,3351967260.0
1626284577000,3352023398.0
1626284607000,3352120650.0
1626284637000,3352177535.0
1626284667000,3352243967.0
1626284697000,3352324939.0
1626284727000,3352401974.0
1626284757000,3352467935.0
1626284787000,3352516555.0
1626284817000,3352594999.0
1626284847000,3352683793.0
1626284877000,3352719793.0
1626284907000,3352769871.0
1626284937000,3352810956.0
1626284967000,3352885597.0
1626284997000,3352963841.0
1626285027000,3353028393.0
1626285057000,3353098136.0
1626285087000,3353180746.0
1626285117000,3353243236.0
1626285147000,3353291656.0
1626285177000,3353337268.0
1626285207000,3353409764.0
1626285237000,3353479100.0
1626285267000,3353544054.0
1626285297000,3353608143.0
1626285327000,3353668391.0
1626285357000,3353751779.0
1626285387000,3353805508.0
1626285417000,3353859535.0
1626285447000,3353927606.0
1626285477000,3353986717.0
1626285507000,3354058882.0
1626285537000,3354124405.0
1626285567000,3354212070.0
1626285597000,3354276463.0
1626285627000,3354350624.0
1626285657000,3354436423.0
1626285687000,3354505183.0
1626285717000,3354575014.0
1626285747000,3354642008.0
1626285777000,3354710358.0
1626285807000,3354775488.0
1626285837000,3354846098.0
1626285867000,3354911078.0
1626285897000,3354976828.0
1626285927000,3355049130.0
1626285957000,3355127950.0
1626285987000,3355194404.0
1626286017000,3355279768.0
1626286047000,3355312529.0
1626286077000,3355402710.0
1626286107000,3355459887.0
1626286137000,3355533069.0
1626286167000,3355641402.0
1626286197000,3355700542.0
1626286227000,3355759656.0
1626286257000,3355840926.0
1626286287000,3355898837.0
1626286317000,3355953763.0
1626286347000,3356009677.0
1626286377000,3356097699.0
1626286407000,3356158860.0
1626286437000,3356224084.0
1626286467000,3356294196.0
1626286497000,3356355754.0
