timestamp,value
1625133610000,5792575839.0
1625133640000,5792575839.0
1625133670000,5792575839.0
1625133700000,5792575839.0
1625133730000,5792575839.0
1625133760000,5792575839.0
1625133790000,5792575839.0
1625133820000,5792575839.0
1625133850000,5792575839.0
1625133880000,5792575839.0
1625133910000,5792575839.0
1625133940000,5792575839.0
1625133970000,5792575839.0
1625134000000,5792575839.0
1625134030000,5792575839.0
1625134060000,5792575839.0
1625134090000,5792575839.0
1625134120000,5792575839.0
1625134150000,5792575839.0
1625134180000,5792575839.0
1625134210000,5792575839.0
1625134240000,5792575839.0
1625134270000,5792575839.0
1625134300000,5792575839.0
1625134330000,5792575839.0
1625134360000,5792575839.0
1625134390000,5792575839.0
1625134420000,5792575839.0
1625134450000,5792575839.0
1625134480000,5792575839.0
1625134510000,5792575839.0
1625134540000,5792575839.0
1625134570000,5792575839.0
1625134600000,5792575839.0
1625134630000,5792575839.0
1625134660000,5792575839.0
1625134690000,5792575839.0
1625134720000,5792575839.0
1625134750000,5792575839.0
1625134780000,5792575839.0
1625134810000,5792575839.0
1625134840000,5792575839.0
1625134870000,5792575839.0
1625134900000,5792575839.0
1625134930000,5792575839.0
1625134960000,5792575839.0
1625134990000,5792575839.0
1625135020000,5792575839.0
1625135050000,5792575839.0
1625135080000,5792575839.0
1625135110000,5792575839.0
1625135140000,5792575839.0
1625135170000,5792575839.0
1625135200000,5792575839.0
1625135230000,5792575839.0
1625135260000,5792575839.0
1625135290000,5792575839.0
1625135320000,5792575839.0
1625135350000,5792575839.0
1625135380000,5792575839.0
1625135410000,5792575839.0
1625135440000,5792575839.0
1625135470000,5792575839.0
1625135500000,5792575839.0
1625135530000,5792575839.0
1625135560000,5792575839.0
1625135590000,5792575839.0
1625135620000,5792575839.0
1625135650000,5792575839.0
1625135680000,5792575839.0
1625135710000,5792575839.0
1625135740000,5792575839.0
1625135770000,5792575839.0
1625135800000,5792575839.0
1625135830000,5792575839.0
1625135860000,5792575839.0
1625135890000,5792575839.0
1625135920000,5792575839.0
1625135950000,5792575839.0
1625135980000,5792575839.0
1625136010000,5792575839.0
1625136040000,5792575839.0
1625136070000,5792575839.0
1625136100000,5792575839.0
1625136130000,5792575839.0
1625136160000,5792575839.0
1625136190000,5792575839.0
1625136220000,5792575839.0
1625136250000,5792575839.0
1625136280000,5792575839.0
1625136310000,5792575839.0
1625136340000,5792575839.0
1625136370000,5792575839.0
1625136400000,5792575839.0
1625136430000,5792575839.0
1625136460000,5792575839.0
1625136490000,5792575839.0
1625136520000,5792575839.0
1625136550000,5792575839.0
1625136580000,5792575839.0
1625136610000,5792575839.0
1625136640000,5792575839.0
1625136670000,5792575839.0
1625136700000,5792575839.0
1625136730000,5792575839.0
1625136760000,5792575839.0
1625136790000,5792575839.0
1625136820000,5792575839.0
1625136850000,5792575839.0
1625136880000,5792575839.0
1625136910000,5792575839.0
1625136940000,5792575839.0
1625136970000,5792575839.0
1625137000000,5792575839.0
1625137030000,5792575839.0
1625137060000,5792575839.0
1625137090000,5792575839.0
1625137120000,5792575839.0
1625137150000,5792575839.0
1625137180000,5792575839.0
1625137210000,5792575839.0
1625137240000,5792575839.0
1625137270000,5792575839.0
1625137300000,5792575839.0
1625137330000,5792575839.0
